Date,Open,High,Low,Close,Adj Close,Volume,highest_sentiment
2017-01-03,1155.199951171875,1160.800048828125,1146.5,1160.4000244140625,1160.4000244140625,52,0
2017-01-04,1156.300048828125,1165.0,1156.300048828125,1163.800048828125,1163.800048828125,36,-1
2017-01-05,1172.0,1183.300048828125,1171.5,1179.699951171875,1179.699951171875,500,-1
2017-01-06,1176.5,1176.5,1171.9000244140625,1171.9000244140625,1171.9000244140625,16,0
2017-01-09,1173.9000244140625,1183.5999755859375,1173.0,1183.5,1183.5,62,-1
2017-01-10,1184.300048828125,1188.9000244140625,1182.300048828125,1184.199951171875,1184.199951171875,8,-1
2017-01-11,1187.5,1197.0,1176.5,1195.5999755859375,1195.5999755859375,20,-1
2017-01-12,1192.699951171875,1204.300048828125,1192.300048828125,1198.9000244140625,1198.9000244140625,110,-1
2017-01-13,1195.699951171875,1196.0,1187.699951171875,1195.300048828125,1195.300048828125,65,0
2017-01-17,1205.5,1214.5999755859375,1200.800048828125,1212.0,1212.0,79,-1
2017-01-18,1213.5999755859375,1214.699951171875,1203.0999755859375,1211.300048828125,1211.300048828125,114,0
2017-01-19,1200.5,1204.0,1195.800048828125,1200.9000244140625,1200.9000244140625,26,0
2017-01-20,1202.800048828125,1212.0999755859375,1202.800048828125,1204.300048828125,1204.300048828125,38,-1
2017-01-23,1212.0,1215.0,1210.0,1215.0,1215.0,16,-1
2017-01-24,1219.0,1219.0,1207.699951171875,1210.300048828125,1210.300048828125,24,0
2017-01-25,1202.0,1202.800048828125,1194.9000244140625,1197.300048828125,1197.300048828125,403,0
2017-01-26,1199.699951171875,1199.699951171875,1185.5999755859375,1189.5,1189.5,19,0
2017-01-27,1187.9000244140625,1188.300048828125,1187.9000244140625,1188.0999755859375,1188.0999755859375,234352,0
2017-01-30,1191.699951171875,1198.5,1187.0999755859375,1193.199951171875,1193.199951171875,50503,-1
2017-01-31,1194.9000244140625,1214.699951171875,1193.5,1208.5999755859375,1208.5999755859375,3212,-1
2017-02-01,1211.9000244140625,1211.9000244140625,1197.9000244140625,1205.5999755859375,1205.5999755859375,1145,0
2017-02-02,1209.699951171875,1224.199951171875,1208.9000244140625,1216.699951171875,1216.699951171875,1512,-1
2017-02-03,1214.9000244140625,1220.5999755859375,1206.199951171875,1218.5,1218.5,865,-1
2017-02-06,1221.9000244140625,1235.4000244140625,1218.5,1230.0,1230.0,908,-1
2017-02-07,1234.199951171875,1236.199951171875,1228.5,1234.199951171875,1234.199951171875,1177,-1
2017-02-08,1232.0999755859375,1243.9000244140625,1231.0,1237.5999755859375,1237.5999755859375,288,-1
2017-02-09,1239.4000244140625,1243.5,1226.9000244140625,1235.0999755859375,1235.0999755859375,885,0
2017-02-10,1227.5999755859375,1234.4000244140625,1221.5,1234.4000244140625,1234.4000244140625,391,0
2017-02-13,1230.5,1231.0999755859375,1219.0,1224.4000244140625,1224.4000244140625,398,0
2017-02-14,1225.9000244140625,1233.5,1222.0999755859375,1223.9000244140625,1223.9000244140625,159,0
2017-02-15,1225.5,1231.699951171875,1217.300048828125,1231.699951171875,1231.699951171875,175,0
2017-02-16,1234.5,1240.699951171875,1233.199951171875,1240.0,1240.0,87,-1
2017-02-17,1240.699951171875,1241.199951171875,1234.800048828125,1237.5999755859375,1237.5999755859375,301,0
2017-02-21,1237.300048828125,1237.5,1228.0999755859375,1237.5,1237.5,119,0
2017-02-22,1236.0999755859375,1238.5999755859375,1231.800048828125,1232.0,1232.0,36,-1
2017-02-23,1236.0999755859375,1250.300048828125,1236.0999755859375,1250.199951171875,1250.199951171875,112,-1
2017-02-24,1250.0,1258.800048828125,1250.0,1256.9000244140625,1256.9000244140625,1264,-1
2017-02-27,1254.699951171875,1263.0999755859375,1250.4000244140625,1257.4000244140625,1257.4000244140625,544,-1
2017-02-28,1253.5999755859375,1257.300048828125,1247.199951171875,1252.5999755859375,1252.5999755859375,721,0
2017-03-01,1247.800048828125,1248.9000244140625,1236.9000244140625,1248.9000244140625,1248.9000244140625,138,0
2017-03-02,1247.199951171875,1247.5999755859375,1230.699951171875,1231.9000244140625,1231.9000244140625,79,0
2017-03-03,1231.699951171875,1235.199951171875,1222.9000244140625,1225.5,1225.5,121,0
2017-03-06,1235.199951171875,1235.199951171875,1224.5,1224.5,1224.5,29,0
2017-03-07,1224.300048828125,1225.4000244140625,1213.699951171875,1215.0999755859375,1215.0999755859375,53,0
2017-03-08,1212.199951171875,1212.199951171875,1206.699951171875,1208.5,1208.5,24,0
2017-03-09,1204.5,1205.5999755859375,1202.300048828125,1202.4000244140625,1202.4000244140625,37,0
2017-03-10,1196.199951171875,1203.300048828125,1196.199951171875,1200.699951171875,1200.699951171875,3,0
2017-03-13,1206.199951171875,1210.0,1202.300048828125,1202.4000244140625,1202.4000244140625,35,-1
2017-03-14,1203.0999755859375,1205.9000244140625,1196.800048828125,1201.9000244140625,1201.9000244140625,22,0
2017-03-15,1198.199951171875,1221.199951171875,1197.699951171875,1200.0999755859375,1200.0999755859375,36,0
2017-03-16,1222.199951171875,1231.4000244140625,1222.199951171875,1226.5,1226.5,47,-1
2017-03-17,1227.0999755859375,1230.9000244140625,1227.0999755859375,1229.800048828125,1229.800048828125,26,-1
2017-03-20,1229.300048828125,1234.4000244140625,1229.300048828125,1233.5999755859375,1233.5999755859375,23,-1
2017-03-21,1226.4000244140625,1246.0999755859375,1226.4000244140625,1246.0999755859375,1246.0999755859375,11,-1
2017-03-22,1247.9000244140625,1249.5,1247.699951171875,1249.300048828125,1249.300048828125,3,-1
2017-03-23,1246.4000244140625,1247.5,1244.800048828125,1246.9000244140625,1246.9000244140625,16,0
2017-03-24,1248.0,1248.300048828125,1247.5999755859375,1248.199951171875,1248.199951171875,3,-1
2017-03-27,1255.800048828125,1257.699951171875,1253.800048828125,1255.4000244140625,1255.4000244140625,72,-1
2017-03-28,1255.9000244140625,1255.9000244140625,1255.300048828125,1255.300048828125,1255.300048828125,19,0
2017-03-29,1252.199951171875,1253.4000244140625,1252.0999755859375,1253.4000244140625,1253.4000244140625,190678,0
2017-03-30,1253.0999755859375,1253.5999755859375,1241.0999755859375,1245.0,1245.0,51328,0
2017-03-31,1242.0999755859375,1248.800048828125,1238.699951171875,1247.300048828125,1247.300048828125,8223,0
2017-04-03,1247.5,1252.4000244140625,1243.5999755859375,1250.800048828125,1250.800048828125,1160,-1
2017-04-04,1253.0999755859375,1260.300048828125,1253.0,1255.0,1255.0,724,-1
2017-04-05,1255.4000244140625,1255.4000244140625,1243.0,1245.4000244140625,1245.4000244140625,907,0
2017-04-06,1256.0999755859375,1257.5,1249.0,1250.300048828125,1250.300048828125,169,-1
2017-04-07,1249.5,1269.0999755859375,1249.5,1254.300048828125,1254.300048828125,445,-1
2017-04-10,1252.699951171875,1255.199951171875,1246.800048828125,1251.0999755859375,1251.0999755859375,182,0
2017-04-11,1254.5,1273.5,1254.5,1271.199951171875,1271.199951171875,401,-1
2017-04-12,1275.0,1285.0999755859375,1272.0,1275.300048828125,1275.300048828125,492,-1
2017-04-13,1285.300048828125,1287.5999755859375,1282.0,1285.9000244140625,1285.9000244140625,915,-1
2017-04-17,1291.800048828125,1294.800048828125,1284.300048828125,1289.4000244140625,1289.4000244140625,73,-1
2017-04-18,1283.9000244140625,1291.699951171875,1278.5999755859375,1291.699951171875,1291.699951171875,394,0
2017-04-19,1288.0,1288.0,1274.0,1281.4000244140625,1281.4000244140625,194,0
2017-04-20,1279.699951171875,1281.9000244140625,1276.199951171875,1281.9000244140625,1281.9000244140625,127,-1
2017-04-21,1279.800048828125,1287.4000244140625,1279.199951171875,1287.4000244140625,1287.4000244140625,474,0
2017-04-24,1275.0,1276.4000244140625,1265.0,1275.800048828125,1275.800048828125,605,0
2017-04-25,1275.5999755859375,1276.9000244140625,1262.0999755859375,1265.5999755859375,1265.5999755859375,356,0
2017-04-26,1266.0,1266.0,1262.0999755859375,1262.0999755859375,1262.0999755859375,1156,-1
2017-04-27,1266.699951171875,1267.199951171875,1262.199951171875,1263.699951171875,1263.699951171875,206,-1
2017-04-28,1265.9000244140625,1267.199951171875,1264.699951171875,1266.0999755859375,1266.0999755859375,85,-1
2017-05-01,1268.699951171875,1269.300048828125,1253.300048828125,1253.300048828125,1253.300048828125,34,0
2017-05-02,1256.199951171875,1256.199951171875,1251.199951171875,1255.0999755859375,1255.0999755859375,90,-1
2017-05-03,1255.0999755859375,1255.800048828125,1238.699951171875,1246.4000244140625,1246.4000244140625,195,0
2017-05-04,1239.800048828125,1239.800048828125,1224.199951171875,1226.5,1226.5,72,0
2017-05-05,1227.0,1233.699951171875,1224.800048828125,1224.800048828125,1224.800048828125,16,0
2017-05-08,1224.0,1234.0,1224.0,1225.300048828125,1225.300048828125,43,-1
2017-05-09,1226.0999755859375,1226.199951171875,1214.0,1214.300048828125,1214.300048828125,55,0
2017-05-10,1219.800048828125,1220.199951171875,1217.300048828125,1217.300048828125,1217.300048828125,23,-1
2017-05-11,1218.5,1222.699951171875,1218.300048828125,1222.699951171875,1222.699951171875,13,-1
2017-05-12,1228.0,1229.5,1226.0999755859375,1226.199951171875,1226.199951171875,29,-1
2017-05-15,1227.5,1232.699951171875,1227.5,1228.5999755859375,1228.5999755859375,13,-1
2017-05-16,1230.4000244140625,1237.300048828125,1230.4000244140625,1235.0,1235.0,20,-1
2017-05-17,1241.0,1259.199951171875,1240.699951171875,1257.5,1257.5,26,-1
2017-05-18,1254.800048828125,1260.0,1245.800048828125,1251.699951171875,1251.699951171875,43,0
2017-05-19,1252.699951171875,1252.699951171875,1252.699951171875,1252.699951171875,1252.699951171875,14,-1
2017-05-22,1251.699951171875,1260.699951171875,1251.699951171875,1260.699951171875,1260.699951171875,14,0
2017-05-23,1261.5,1261.5999755859375,1250.5999755859375,1254.800048828125,1254.800048828125,20,0
2017-05-24,1251.9000244140625,1257.800048828125,1249.699951171875,1252.4000244140625,1252.4000244140625,14,0
2017-05-25,1257.0999755859375,1258.300048828125,1255.800048828125,1255.800048828125,1255.800048828125,11,-1
2017-05-26,1267.5999755859375,1267.5999755859375,1267.5999755859375,1267.5999755859375,1267.5999755859375,271457,-1
2017-05-30,1267.4000244140625,1270.0,1258.4000244140625,1262.0999755859375,1262.0999755859375,129819,0
2017-05-31,1262.4000244140625,1273.199951171875,1258.5,1272.0,1272.0,2712,-1
2017-06-01,1268.0,1269.199951171875,1260.800048828125,1267.0,1267.0,825,0
2017-06-02,1265.199951171875,1279.0,1259.0,1276.800048828125,1276.800048828125,1732,-1
2017-06-05,1279.199951171875,1282.0,1277.0,1279.300048828125,1279.300048828125,433,-1
2017-06-06,1279.4000244140625,1295.199951171875,1279.4000244140625,1294.4000244140625,1294.4000244140625,942,-1
2017-06-07,1291.5999755859375,1293.0999755859375,1284.300048828125,1290.0999755859375,1290.0999755859375,641,0
2017-06-08,1285.4000244140625,1287.5999755859375,1268.0999755859375,1276.300048828125,1276.300048828125,319,0
2017-06-09,1277.9000244140625,1277.9000244140625,1264.5999755859375,1268.5,1268.5,467,0
2017-06-12,1266.4000244140625,1269.300048828125,1263.199951171875,1266.0999755859375,1266.0999755859375,255,0
2017-06-13,1264.0999755859375,1266.9000244140625,1259.699951171875,1265.800048828125,1265.800048828125,150,0
2017-06-14,1269.4000244140625,1278.0,1256.800048828125,1272.800048828125,1272.800048828125,336,-1
2017-06-15,1263.199951171875,1264.199951171875,1250.300048828125,1252.199951171875,1252.199951171875,743,0
2017-06-16,1252.800048828125,1255.300048828125,1251.300048828125,1254.0,1254.0,34,-1
2017-06-19,1252.0999755859375,1252.199951171875,1241.9000244140625,1244.199951171875,1244.199951171875,108,0
2017-06-20,1242.199951171875,1245.5,1240.5,1241.0,1241.0,75,0
2017-06-21,1244.0999755859375,1245.0,1240.0,1243.4000244140625,1243.4000244140625,205,-1
2017-06-22,1251.0,1252.699951171875,1246.300048828125,1247.5999755859375,1247.5999755859375,156,-1
2017-06-23,1250.0,1273.5999755859375,1249.800048828125,1256.199951171875,1256.199951171875,269,-1
2017-06-26,1260.199951171875,1260.199951171875,1241.5999755859375,1246.300048828125,1246.300048828125,194,0
2017-06-27,1251.5999755859375,1251.800048828125,1245.9000244140625,1246.4000244140625,1246.4000244140625,111,-1
2017-06-28,1248.5,1248.5,1248.0,1248.0,1248.0,370,-1
2017-06-29,1248.199951171875,1250.699951171875,1238.0999755859375,1244.199951171875,1244.199951171875,540,0
2017-06-30,1243.699951171875,1243.699951171875,1239.0999755859375,1240.699951171875,1240.699951171875,43,0
2017-07-03,1236.0,1236.0,1217.9000244140625,1217.9000244140625,1217.9000244140625,33,0
2017-07-05,1222.5,1225.0,1217.0999755859375,1220.4000244140625,1220.4000244140625,40,-1
2017-07-06,1225.0999755859375,1225.0999755859375,1222.199951171875,1222.199951171875,1222.199951171875,5,-1
2017-07-07,1219.0999755859375,1220.4000244140625,1208.5999755859375,1208.5999755859375,1208.5999755859375,116,0
2017-07-10,1211.4000244140625,1212.0999755859375,1209.5999755859375,1212.0999755859375,1212.0999755859375,28,-1
2017-07-11,1208.699951171875,1214.9000244140625,1208.699951171875,1213.5999755859375,1213.5999755859375,12,-1
2017-07-12,1218.300048828125,1219.4000244140625,1217.9000244140625,1218.0999755859375,1218.0999755859375,7,-1
2017-07-13,1221.4000244140625,1221.4000244140625,1216.300048828125,1216.300048828125,1216.300048828125,7,-1
2017-07-14,1214.9000244140625,1227.5,1214.800048828125,1226.5999755859375,1226.5999755859375,23,-1
2017-07-17,1229.9000244140625,1233.4000244140625,1229.9000244140625,1232.800048828125,1232.800048828125,7,-1
2017-07-18,1236.199951171875,1241.199951171875,1236.199951171875,1241.0999755859375,1241.0999755859375,29,-1
2017-07-19,1240.4000244140625,1241.199951171875,1240.0999755859375,1241.199951171875,1241.199951171875,3,-1
2017-07-20,1236.5999755859375,1244.800048828125,1236.5999755859375,1244.800048828125,1244.800048828125,5,0
2017-07-21,1250.699951171875,1254.300048828125,1250.5,1254.300048828125,1254.300048828125,16,-1
2017-07-24,1256.0,1256.0,1253.9000244140625,1253.9000244140625,1253.9000244140625,8,0
2017-07-25,1252.699951171875,1253.5999755859375,1249.199951171875,1251.699951171875,1251.699951171875,18,0
2017-07-26,1244.800048828125,1249.0,1244.800048828125,1249.0,1249.0,7,0
2017-07-27,1259.5999755859375,1259.5999755859375,1259.5999755859375,1259.5999755859375,1259.5999755859375,220309,-1
2017-07-28,1258.4000244140625,1270.0,1256.9000244140625,1268.4000244140625,1268.4000244140625,64180,-1
2017-07-31,1268.9000244140625,1270.800048828125,1265.800048828125,1266.5999755859375,1266.5999755859375,7780,0
2017-08-01,1268.4000244140625,1273.300048828125,1262.0,1272.5999755859375,1272.5999755859375,1061,-1
2017-08-02,1268.5,1272.0999755859375,1262.9000244140625,1271.800048828125,1271.800048828125,393,0
2017-08-03,1265.9000244140625,1269.800048828125,1256.5999755859375,1267.800048828125,1267.800048828125,878,0
2017-08-04,1269.0,1269.5999755859375,1253.9000244140625,1258.300048828125,1258.300048828125,521,0
2017-08-07,1258.699951171875,1259.0999755859375,1255.300048828125,1258.199951171875,1258.199951171875,260,-1
2017-08-08,1256.9000244140625,1264.0999755859375,1251.4000244140625,1256.4000244140625,1256.4000244140625,555,0
2017-08-09,1260.199951171875,1277.800048828125,1260.199951171875,1273.0,1273.0,574,-1
2017-08-10,1276.5999755859375,1287.4000244140625,1274.9000244140625,1283.699951171875,1283.699951171875,608,-1
2017-08-11,1286.300048828125,1291.0999755859375,1282.0,1287.699951171875,1287.699951171875,139,-1
2017-08-14,1288.4000244140625,1288.4000244140625,1278.800048828125,1284.199951171875,1284.199951171875,338,0
2017-08-15,1280.5,1280.5,1267.4000244140625,1273.699951171875,1273.699951171875,188,0
2017-08-16,1271.300048828125,1282.5999755859375,1269.4000244140625,1276.9000244140625,1276.9000244140625,110,-1
2017-08-17,1283.800048828125,1288.5,1283.199951171875,1286.4000244140625,1286.4000244140625,43,-1
2017-08-18,1288.5999755859375,1300.699951171875,1284.300048828125,1285.699951171875,1285.699951171875,358,0
2017-08-21,1285.199951171875,1290.800048828125,1284.699951171875,1290.800048828125,1290.800048828125,18,-1
2017-08-22,1287.199951171875,1288.4000244140625,1283.199951171875,1285.0999755859375,1285.0999755859375,100,0
2017-08-23,1289.4000244140625,1289.4000244140625,1286.9000244140625,1288.9000244140625,1288.9000244140625,250,-1
2017-08-24,1288.699951171875,1288.699951171875,1284.0,1286.5,1286.5,550,0
2017-08-25,1285.4000244140625,1292.699951171875,1280.300048828125,1292.5,1292.5,280,-1
2017-08-28,1293.5,1311.300048828125,1293.5,1309.699951171875,1309.699951171875,145,-1
2017-08-29,1318.800048828125,1323.800048828125,1313.0999755859375,1313.0999755859375,1313.0999755859375,1178,-1
2017-08-30,1308.199951171875,1312.5,1304.9000244140625,1308.0999755859375,1308.0999755859375,1178,0
2017-08-31,1306.5999755859375,1322.300048828125,1301.699951171875,1316.199951171875,1316.199951171875,373,-1
2017-09-01,1320.199951171875,1327.699951171875,1316.9000244140625,1324.5,1324.5,313,-1
2017-09-05,1335.199951171875,1339.199951171875,1328.5999755859375,1339.199951171875,1339.199951171875,39,-1
2017-09-06,1340.0,1340.300048828125,1332.5999755859375,1333.9000244140625,1333.9000244140625,20,0
2017-09-07,1336.4000244140625,1349.0,1336.4000244140625,1345.0999755859375,1345.0999755859375,26,-1
2017-09-08,1351.0,1355.800048828125,1345.5999755859375,1346.0,1346.0,37,-1
2017-09-11,1331.0,1331.0,1327.300048828125,1331.0,1331.0,9,0
2017-09-12,1327.0,1328.0,1325.199951171875,1328.0,1328.0,15,0
2017-09-13,1323.4000244140625,1323.4000244140625,1323.4000244140625,1323.4000244140625,1323.4000244140625,16,0
2017-09-14,1319.5999755859375,1329.300048828125,1319.5999755859375,1324.699951171875,1324.699951171875,316,0
2017-09-15,1320.5999755859375,1321.199951171875,1319.800048828125,1320.4000244140625,1320.4000244140625,15,0
2017-09-18,1309.800048828125,1310.4000244140625,1306.0,1306.300048828125,1306.300048828125,129,0
2017-09-19,1307.9000244140625,1310.300048828125,1305.0999755859375,1306.199951171875,1306.199951171875,20,0
2017-09-20,1312.0,1312.0,1298.699951171875,1312.0,1312.0,12,-1
2017-09-21,1299.0999755859375,1304.0999755859375,1290.300048828125,1290.5999755859375,1290.5999755859375,336,0
2017-09-22,1295.0,1295.699951171875,1293.300048828125,1293.300048828125,1293.300048828125,209,0
2017-09-25,1293.0999755859375,1309.199951171875,1291.0,1306.800048828125,1306.800048828125,51,0
2017-09-26,1304.5,1305.5999755859375,1297.0,1297.0,1297.0,39,0
2017-09-27,1283.4000244140625,1283.4000244140625,1283.4000244140625,1283.4000244140625,1283.4000244140625,19488,0
2017-09-28,1283.0999755859375,1288.0,1277.0,1285.5,1285.5,5226,-1
2017-09-29,1284.199951171875,1289.4000244140625,1281.5,1281.5,1281.5,492,0
2017-10-02,1275.0,1276.0999755859375,1270.4000244140625,1272.699951171875,1272.699951171875,136,0
2017-10-03,1269.699951171875,1273.300048828125,1268.5999755859375,1271.5,1271.5,192,0
2017-10-04,1273.800048828125,1280.800048828125,1270.0,1273.699951171875,1273.699951171875,218,-1
2017-10-05,1277.800048828125,1277.800048828125,1267.5999755859375,1269.9000244140625,1269.9000244140625,36,-1
2017-10-06,1267.5999755859375,1272.0,1260.5,1271.5999755859375,1271.5999755859375,46,0
2017-10-09,1280.5999755859375,1284.0,1279.0,1281.800048828125,1281.800048828125,19,-1
2017-10-10,1282.5999755859375,1293.0,1281.699951171875,1290.5999755859375,1290.5999755859375,18,-1
2017-10-11,1287.300048828125,1292.0,1284.9000244140625,1285.800048828125,1285.800048828125,21,0
2017-10-12,1291.5,1294.5,1289.300048828125,1293.300048828125,1293.300048828125,14,-1
2017-10-13,1293.300048828125,1301.699951171875,1291.699951171875,1301.5,1301.5,74,-1
2017-10-16,1302.0,1303.800048828125,1291.9000244140625,1299.9000244140625,1299.9000244140625,173,-1
2017-10-17,1295.0999755859375,1295.0999755859375,1283.0,1283.0,1283.0,571,0
2017-10-18,1279.9000244140625,1279.9000244140625,1279.9000244140625,1279.9000244140625,1279.9000244140625,163,0
2017-10-19,1286.4000244140625,1286.9000244140625,1285.0999755859375,1286.9000244140625,1286.9000244140625,134,-1
2017-10-20,1279.5999755859375,1279.5999755859375,1277.4000244140625,1277.4000244140625,1277.4000244140625,304,0
2017-10-23,1274.699951171875,1280.800048828125,1271.5,1277.699951171875,1277.699951171875,115,0
2017-10-24,1275.5,1275.5,1273.699951171875,1275.0,1275.0,111,0
2017-10-25,1269.9000244140625,1275.4000244140625,1269.9000244140625,1275.4000244140625,1275.4000244140625,105,0
2017-10-26,1273.5,1273.5,1264.699951171875,1266.300048828125,1266.300048828125,39,0
2017-10-27,1268.4000244140625,1268.5,1267.0999755859375,1268.5,1268.5,567,0
2017-10-30,1270.0,1274.0999755859375,1267.9000244140625,1274.0999755859375,1274.0999755859375,222,-1
2017-10-31,1273.0999755859375,1274.5999755859375,1266.0999755859375,1267.0,1267.0,235,0
2017-11-01,1272.199951171875,1274.800048828125,1270.300048828125,1274.0999755859375,1274.0999755859375,78,-1
2017-11-02,1274.9000244140625,1274.9000244140625,1274.9000244140625,1274.9000244140625,1274.9000244140625,70,-1
2017-11-03,1265.300048828125,1267.9000244140625,1265.300048828125,1266.5,1266.5,75,0
2017-11-06,1269.0,1280.5,1269.0,1279.4000244140625,1279.4000244140625,128,-1
2017-11-07,1276.800048828125,1276.800048828125,1270.4000244140625,1273.699951171875,1273.699951171875,11,0
2017-11-08,1275.9000244140625,1284.9000244140625,1274.699951171875,1281.5999755859375,1281.5999755859375,15,-1
2017-11-09,1279.699951171875,1286.9000244140625,1279.699951171875,1285.5999755859375,1285.5999755859375,18,0
2017-11-10,1283.5,1283.5,1272.4000244140625,1272.4000244140625,1272.4000244140625,10,0
2017-11-13,1277.300048828125,1277.300048828125,1277.0,1277.300048828125,1277.300048828125,3,-1
2017-11-14,1276.9000244140625,1281.5,1276.9000244140625,1281.5,1281.5,4,0
2017-11-15,1281.4000244140625,1284.699951171875,1275.9000244140625,1276.5,1276.5,13,0
2017-11-16,1277.5,1277.5,1277.4000244140625,1277.4000244140625,1277.4000244140625,43,-1
2017-11-17,1288.300048828125,1295.800048828125,1288.300048828125,1295.800048828125,1295.800048828125,1,-1
2017-11-20,1274.5999755859375,1275.9000244140625,1274.5999755859375,1274.5999755859375,1274.5999755859375,1,0
2017-11-21,1281.0999755859375,1281.0999755859375,1281.0999755859375,1281.0999755859375,1281.0999755859375,4,-1
2017-11-22,1284.699951171875,1291.5999755859375,1282.9000244140625,1291.5999755859375,1291.5999755859375,4,-1
2017-11-24,1286.699951171875,1286.699951171875,1286.699951171875,1286.699951171875,1286.699951171875,0,0
2017-11-27,1293.800048828125,1293.800048828125,1293.800048828125,1293.800048828125,1293.800048828125,1,-1
2017-11-28,1294.699951171875,1294.699951171875,1294.699951171875,1294.699951171875,1294.699951171875,275442,-1
2017-11-29,1293.4000244140625,1296.199951171875,1281.0999755859375,1282.0999755859375,1282.0999755859375,47244,0
2017-11-30,1283.0999755859375,1284.5,1269.699951171875,1273.199951171875,1273.199951171875,3049,0
2017-12-01,1274.0999755859375,1288.5999755859375,1271.0,1278.800048828125,1278.800048828125,823,-1
2017-12-04,1272.5,1276.0999755859375,1270.300048828125,1274.300048828125,1274.300048828125,850,0
2017-12-05,1275.4000244140625,1275.800048828125,1260.0,1261.5999755859375,1261.5999755859375,1499,-1
2017-12-06,1264.9000244140625,1267.800048828125,1261.5999755859375,1262.800048828125,1262.800048828125,373,-1
2017-12-07,1262.300048828125,1262.4000244140625,1243.9000244140625,1249.800048828125,1249.800048828125,358,0
2017-12-08,1246.300048828125,1249.300048828125,1241.5,1245.199951171875,1245.199951171875,157,0
2017-12-11,1248.4000244140625,1249.199951171875,1239.9000244140625,1243.699951171875,1243.699951171875,146,-1
2017-12-12,1241.300048828125,1244.4000244140625,1236.5,1238.5,1238.5,692,0
2017-12-13,1241.9000244140625,1254.5,1239.800048828125,1245.4000244140625,1245.4000244140625,349,-1
2017-12-14,1252.9000244140625,1257.699951171875,1250.300048828125,1253.800048828125,1253.800048828125,139,-1
2017-12-15,1253.0999755859375,1260.300048828125,1253.0999755859375,1254.300048828125,1254.300048828125,578,1
2017-12-18,1256.199951171875,1262.4000244140625,1255.699951171875,1262.199951171875,1262.199951171875,45,-1
2017-12-19,1261.0999755859375,1264.300048828125,1259.5,1260.699951171875,1260.699951171875,329,-1
2017-12-20,1261.300048828125,1266.5999755859375,1261.300048828125,1266.0999755859375,1266.0999755859375,63,-1
2017-12-21,1266.4000244140625,1267.4000244140625,1264.300048828125,1267.300048828125,1267.300048828125,226,-1
2017-12-22,1266.300048828125,1276.300048828125,1266.300048828125,1275.4000244140625,1275.4000244140625,119,-1
2017-12-26,1282.4000244140625,1284.0999755859375,1281.800048828125,1284.0999755859375,1284.0999755859375,84,-1
2017-12-27,1284.0,1287.0,1284.0,1287.0,1287.0,456,-1
2017-12-28,1288.199951171875,1294.0999755859375,1288.199951171875,1294.0999755859375,1294.0999755859375,245,-1
2017-12-29,1294.199951171875,1306.300048828125,1294.0,1306.300048828125,1306.300048828125,65,1
2018-01-02,1302.300048828125,1317.5999755859375,1302.300048828125,1313.699951171875,1313.699951171875,68,-1
2018-01-03,1320.0,1320.0999755859375,1312.0999755859375,1316.199951171875,1316.199951171875,42,-1
2018-01-04,1319.4000244140625,1322.0,1319.4000244140625,1319.4000244140625,1319.4000244140625,2,0
2018-01-05,1320.300048828125,1320.300048828125,1320.300048828125,1320.300048828125,1320.300048828125,1,0
